my_atoms, my_ke, my_cpu, my_time, 1_disp, 2_disp, 3_disp, 1_vel, 2_vel, 3_vel,  1_force, 2_force, 3_force, force1y, force2y, force3y, force1z, force2z,force3z
3, 1.18253509578959e-07, 2.338943031, 0.02696, -0.0004, -0.000142427621294679, 0.003096,  0, 6.62430343202321 , 0.1,  0, -4.47449568727633e-07, 0, 0, 0,0,  0, 0,0
3, 1.18230762875067e-07, 2.340152476, 0.02697, -0.0004, -7.61880952317801e-05, 0.003097,  0, 6.62366614583387 , 0.1,  0, -2.3935196027116e-07, 0, 0, 0,0,  0, 0,0
3, 1.18221800596997e-07, 2.340818818, 0.02698, -0.0004, -9.95301112698502e-06, 0.003098,  0, 6.62341503608618 , 0.1,  0, -3.12683066376336e-08, 0, 0, 0,0,  0, 0,0
3, 5.11451673011322e-07, 2.341515435, 0.02699, -0.0004, -0.000116926749437385, 0.003099,  0, -13.7775989902911 , 0.1,  0, 7.34672434081246e-07, 0, 0, 0,0,  0, 0,0
3, 5.11290833570185e-07, 2.342245055, 0.027, -0.0004, -0.000254693244784003, 0.0031,  0, -13.7754323414729 , 0.1,  0, 1.60028485346474e-06, 0, 0, 0,0,  0, 0,0
3, 5.11010814969352e-07, 2.343491501, 0.02701, -0.0004, -0.00039243004204644, 0.003101,  0, -13.7716594311707 , 0.1,  0, 2.46571067428206e-06, 0, 0, 0,0,  0, 0,0
3, 5.11212978115458e-07, 2.344706411, 0.02702, -0.0004, -0.000530160517918163, 0.003102,  0, -13.7743834375699 , 0.1,  0, -8.77656367611722e-07, 0, 0, 0,0,  0, 0,0
3, 5.11220770319321e-07, 2.345371162, 0.02703, -0.0004, -0.000667907197849374, 0.003103,  0, -13.774488421262 , 0.1,  0, 4.14981776828498e-07, 0, 0, 0,0,  0, 0,0
3, 1.0137589897005e-06, 2.346586917, 0.02704, -0.0004, -0.00079233761469197, 0.003104,  0, 19.3974332282774 , 0.1,  0, -4.81441867853657e-08, 0, 0, 0,0,  0, 0,0
3, 1.01363145061e-06, 2.347259851, 0.02705, -0.0004, -0.000598367498825939, 0.003105,  0, 19.3962129803749 , 0.1,  0, -1.26689436882673e-06, 0, 0, 0,0,  0, 0,0
3, 1.01326756884379e-06, 2.348447707, 0.02706, -0.0004, -0.00040442089398392, 0.003106,  0, 19.3927310691669 , 0.1,  0, -2.48549682674853e-06, 0, 0, 0,0,  0, 0,0
3, 1.01350749290906e-06, 2.349635497, 0.02707, -0.0004, -0.000210479363703796, 0.003107,  0, 19.3950269243437 , 0.1,  0, 1.31935263305878e-07, 0, 0, 0,0,  0, 0,0
3, 1.01345835928901e-06, 2.350917208, 0.02708, -0.0004, -1.65315956740606e-05, 0.003108,  0, 19.3945567823991 , 0.1,  0, -5.19355395222287e-08, 0, 0, 0,0,  0, 0,0
3, 7.13078687763414e-07, 2.351611383, 0.02709, -0.0004, -0.00014854971446852, 0.003109,  0, -16.2683385307662 , 0.1,  0, 9.33365383334327e-07, 0, 0, 0,0,  0, 0,0
3, 7.12843722815289e-07, 2.352299759, 0.0271, -0.0004, -0.000311221277499146, 0.00311,  0, -16.2656579369019 , 0.1,  0, 1.9554609580653e-06, 0, 0, 0,0,  0, 0,0
3, 7.12797012444927e-07, 2.353524627, 0.02711, -0.0004, -0.00047386589009391, 0.003111,  0, -16.2651249897446 , 0.1,  0, -1.58521036762193e-06, 0, 0, 0,0,  0, 0,0
3, 7.12888620681349e-07, 2.35475852, 0.02712, -0.0004, -0.000636525527139735, 0.003112,  0, -16.2661701876317 , 0.1,  0, 4.58830915493917e-07, 0, 0, 0,0,  0, 0,0
3, 7.12846739346819e-07, 2.355961697, 0.02713, -0.0004, -0.000799184054932256, 0.003113,  0, -16.2656923537531 , 0.1,  0, 2.56336703055616e-09, 0, 0, 0,0,  0, 0,0
3, 1.1711633785414e-06, 2.35662618, 0.02714, -0.0004, -0.000592912416624831, 0.003114,  0, 20.8490573482564 , 0.1,  0, -1.30116966116219e-06, 0, 0, 0,0,  0, 0,0
3, 1.17083288824575e-06, 2.357818855, 0.02715, -0.0004, -0.000384437711289577, 0.003115,  0, 20.8461153779212 , 0.1,  0, 2.31816611423198e-06, 0, 0, 0,0,  0, 0,0
3, 1.17104308935448e-06, 2.359023529, 0.02716, -0.0004, -0.000175963149856281, 0.003116,  0, 20.8479866017234 , 0.1,  0, -3.01602488405674e-07, 0, 0, 0,0,  0, 0,0
3, 1.14937690893958e-06, 2.360287825, 0.02717, -0.0004, -3.18140291804022e-05, 0.003117,  0, -20.6542210760545 , 0.1,  0, 1.99893440708485e-07, 0, 0, 0,0,  0, 0,0
3, 1.1492016119431e-06, 2.360954162, 0.02718, -0.0004, -0.000238350371199495, 0.003118,  0, -20.6526459418101 , 0.1,  0, 1.49759955028147e-06, 0, 0, 0,0,  0, 0,0
3, 1.14897781807872e-06, 2.362146387, 0.02719, -0.0004, -0.00044486108619711, 0.003119,  0, -20.6506348635069 , 0.1,  0, -1.94984814236921e-06, 0, 0, 0,0,  0, 0,0
3, 1.14911353506862e-06, 2.363371553, 0.0272, -0.0004, -0.000651377502544315, 0.00312,  0, -20.6518544801603 , 0.1,  0, 4.66911346164948e-07, 0, 0, 0,0,  0, 0,0
3, 4.06713956868984e-07, 2.364590525, 0.02721, -0.0004, -0.000765753273683999, 0.003121,  0, 12.2860656133624 , 0.1,  0, -2.15178527607988e-07, 0, 0, 0,0,  0, 0,0
3, 4.06640102694861e-07, 2.365285113, 0.02722, -0.0004, -0.000642897001859252, 0.003122,  0, 12.2849499907889 , 0.1,  0, -9.87107249631811e-07, 0, 0, 0,0,  0, 0,0
3, 4.06471444458096e-07, 2.365985711, 0.02723, -0.0004, -0.000520059048769529, 0.003123,  0, 12.2824019019585 , 0.1,  0, -1.75892087164917e-06, 0, 0, 0,0,  0, 0,0
3, 4.06221924583005e-07, 2.367179205, 0.02724, -0.0004, -0.000397253714155611, 0.003124,  0, 12.2786311855647 , 0.1,  0, 2.47904600896548e-06, 0, 0, 0,0,  0, 0,0
3, 4.06431606254742e-07, 2.368391469, 0.02725, -0.0004, -0.000274449171874715, 0.003125,  0, 12.2817999491547 , 0.1,  0, 9.35838617536997e-07, 0, 0, 0,0,  0, 0,0
3, 4.06452312721707e-07, 2.369125358, 0.02726, -0.0004, -0.000151627260592879, 0.003126,  0, 12.2821128262797 , 0.1,  0, -4.76351087962535e-07, 0, 0, 0,0,  0, 0,0
3, 4.0641750254466e-07, 2.370369822, 0.02727, -0.0004, -2.88093589958583e-05, 0.003127,  0, 12.281586835891 , 0.1,  0, -9.05072705762967e-08, 0, 0, 0,0,  0, 0,0
3, 2.15677722569652e-07, 2.371064422, 0.02728, -0.0004, -6.83907332861733e-05, 0.003128,  0, -8.94660358063559 , 0.1,  0, 4.29711650530922e-07, 0, 0, 0,0,  0, 0,0
3, 2.15614137804325e-07, 2.371759836, 0.02729, -0.0004, -0.000157851043120224, 0.003129,  0, -8.94528452761067 , 0.1,  0, 9.91807354855961e-07, 0, 0, 0,0,  0, 0,0
3, 2.15500296383146e-07, 2.372455524, 0.0273, -0.0004, -0.000247292946994703, 0.00313,  0, -8.94292242449174 , 0.1,  0, 1.55378741112673e-06, 0, 0, 0,0,  0, 0,0
3, 2.15336251401732e-07, 2.373713192, 0.02731, -0.0004, -0.000336706015684475, 0.003131,  0, -8.93951754670795 , 0.1,  0, 2.11558629058767e-06, 0, 0, 0,0,  0, 0,0
3, 2.15250883741985e-07, 2.374414316, 0.02732, -0.0004, -0.00042608374345471, 0.003132,  0, -8.93774516316581 , 0.1,  0, -2.18557566042813e-06, 0, 0, 0,0,  0, 0,0
3, 2.15396050627534e-07, 2.37562903, 0.02733, -0.0004, -0.000515478000951367, 0.003133,  0, -8.94075887509709 , 0.1,  0, -1.06221428992967e-06, 0, 0, 0,0,  0, 0,0
3, 2.15440794249676e-07, 2.37631789, 0.02734, -0.0004, -0.000604891970827856, 0.003134,  0, -8.94168756251317 , 0.1,  0, 6.13947936394248e-08, 0, 0, 0,0,  0, 0,0
3, 2.15408229726846e-07, 2.377014549, 0.02735, -0.0004, -0.00069430577438809, 0.003135,  0, -8.94101167098718 , 0.1,  0, 3.32048202709238e-07, 0, 0, 0,0,  0, 0,0
